@RELATION safe-tweets

@ATTRIBUTE verifiedUser 	 NUMERIC 
@ATTRIBUTE Profanity 	 NUMERIC 
@ATTRIBUTE Explicit 	 NUMERIC 
@ATTRIBUTE HateSpeech 	 NUMERIC 
@ATTRIBUTE hasPhoto 	 NUMERIC 
@ATTRIBUTE RetweetCount 	 NUMERIC 
@ATTRIBUTE class 	{Safe, Unsafe}

@DATA
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,15,Safe
0,0,1,2,0,3,Unsafe
0,0,0,0,0,2,Safe
0,0,0,0,0,0,Unsafe
0,0,0,2,0,2,Unsafe
0,0,0,0,0,10,Unsafe
0,0,0,0,0,9,Unsafe
0,0,0,0,0,1,Safe
0,0,0,0,0,1,Safe
0,0,0,0,0,1,Safe
0,0,0,0,0,1,Unsafe
0,0,0,0,0,15,Unsafe
0,0,0,0,0,2,Unsafe
0,0,0,0,0,0,Safe
0,0,0,0,0,2,Unsafe
0,0,0,0,0,3,Unsafe
0,0,0,0,0,5,Unsafe
0,0,0,0,0,9,Unsafe
0,0,0,0,0,4,Safe
0,2,10,0,0,1487,Unsafe
0,4,9,2,0,685,Unsafe
0,3,6,0,0,624,Unsafe
0,4,7,6,0,645,Unsafe
0,2,8,0,0,680,Unsafe
0,1,8,0,0,1132,Unsafe
0,6,8,2,0,624,Unsafe
0,1,6,0,0,1335,Safe
0,4,7,2,0,1230,Unsafe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,0,1,0,Safe
0,0,1,0,0,1,Unsafe
0,0,1,0,1,1,Unsafe
0,0,0,0,0,0,Safe
0,0,0,0,0,4,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,0,1,0,Safe
0,0,2,0,0,1,Unsafe
0,2,2,0,0,0,Unsafe
0,0,0,0,0,1,Safe
0,2,0,0,0,4,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,1,Safe
0,0,0,0,0,1,Safe
0,0,0,0,0,2067,Safe
0,0,0,0,0,4890,Safe
0,0,0,0,0,2279,Safe
0,0,0,0,0,1961,Safe
0,0,1,0,0,1080,Safe
0,0,0,2,0,196,Safe
0,0,0,0,0,60,Safe
0,0,0,0,0,3987,Safe
0,0,0,0,0,5,Safe
0,0,0,0,0,522,Safe
0,0,0,0,0,4,Safe
0,0,0,0,0,4444,Safe
0,0,0,0,0,55,Safe
0,0,0,0,0,4,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,6,Safe
0,0,0,0,0,1845,Safe
0,0,0,0,0,260,Safe
0,0,0,0,0,12,Safe
0,0,0,0,0,2067,Safe
0,0,0,0,0,4890,Safe
0,0,0,0,0,2279,Safe
0,0,0,0,0,1964,Safe
0,0,1,0,0,1079,Safe
0,0,0,2,0,196,Safe
0,0,0,0,0,60,Safe
0,0,0,0,0,3987,Safe
0,0,0,0,0,5,Safe
0,0,0,0,0,522,Safe
0,0,0,0,0,4,Safe
0,0,0,0,0,4444,Safe
0,0,0,0,0,55,Safe
0,0,0,0,0,4,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,6,Safe
0,0,0,0,0,1845,Safe
0,0,0,0,0,260,Safe
0,0,0,0,0,12,Safe
0,0,0,0,0,0,Safe
0,0,2,0,0,1,Unsafe
0,0,0,0,0,0,Safe
0,3,1,2,0,14,Unsafe
0,0,0,0,0,1,Safe
0,2,0,0,0,5,Unsafe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,3,Safe
0,3,1,2,0,0,Unsafe
0,0,2,0,0,0,Unsafe
0,0,0,0,0,0,Safe
0,0,0,0,0,38,Safe
0,0,0,0,0,47,Safe
0,0,0,0,0,43,Safe
0,0,0,0,0,49,Safe
0,0,0,0,0,58,Safe
0,0,0,0,0,65,Safe
0,0,0,0,0,41,Safe
0,0,0,0,0,2,Safe
0,0,0,0,0,1,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,1,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Unsafe
0,0,0,0,0,0,Safe
0,0,0,0,0,9,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,14,Safe
0,0,0,0,0,2,Unsafe
0,0,0,0,0,0,Unsafe
0,0,0,0,0,2,Safe
0,0,0,0,0,14,Unsafe
0,0,0,0,0,2,Unsafe
0,0,0,0,0,18,Unsafe
0,0,0,0,0,1,Unsafe
0,0,0,0,0,1,Safe
0,0,0,0,0,1,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Unsafe
0,0,0,0,0,1,Unsafe
0,0,0,0,0,0,Safe
0,0,0,0,0,1,Safe
0,0,0,0,0,5,Unsafe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
1,0,0,0,1,4,Safe
1,0,0,0,0,0,Safe
1,0,0,0,0,2,Safe
1,0,3,0,0,0,Unsafe
1,0,1,0,0,2,Safe
1,0,3,0,0,1,Unsafe
1,0,1,0,0,2,Safe
1,0,1,0,0,2,Safe
1,0,1,0,0,2,Safe
1,0,3,0,0,4,Unsafe
1,0,1,0,0,3,Safe
1,2,2,0,0,1,Unsafe
1,0,0,0,0,0,Unsafe
1,0,0,0,0,0,Unsafe
1,0,0,0,0,3,Safe
